기사 타이틀,본문
[연합뉴스 이 시각 헤드라인] - 10:30,". ■ 이재명 이르면 26일 구속여부 결정…기일 연기 가능성도. '백현동 개발사업 특혜 의혹'과 '쌍방울그룹 대북송금 의혹'을 받는 더불어민주당 이재명 대표의 구속 여부가 이르면 26일 결정된다. 서울중앙지법은 22일 이 대표의 구속 전 피의자 심문(영장심사) 기일을 26일 오전 10시로 지정했다. 유창훈(50·사법연수원 29기) 영장전담 부장판사가 심리한다. 영장심사가 예정대로 진행되면 이 대표의 구속 여부는 26일 밤이나 27일 새벽 결정될 가능성이 높다.. 전문보기: https://www.yna.co.kr/view/AKR20230922015751004..광고..........이재명 대표.(수원=연합뉴스) 홍기원 기자 = 더불어민주당 이재명 대표가 지난 12일 오후 수원지방검찰청에서 '쌍방울 그룹 대북 송금' 의혹 관련 조사를 마친 후 나와 발언하고 있다. 2023.9.12 xanadu@yna.co.kr..... ■ 尹, 뉴욕 양자회담 40건 목전…엑스포 유치전 '막판 스퍼트'. 윤석열 대통령은 미국 뉴욕 방문 나흘째인 21일(현지시간)에도 2030 부산세계박람회(엑스포) 유치를 위한 연쇄 양자 회담을 이어갔다. 이날 오전 뉴욕 디지털 비전 포럼 연설을 위해 뉴욕대를 찾은 것을 제외하면 내내 회담장이 차려진 주유엔 한국대표부에 머무르며 종일 각국 정상들과 회담했다. 윤 대통령은 먼저 기예르모 라소 에콰도르 대통령을 만나 ""전략적경제협력협정(SECA) 체결에 대한 양국 간 협의가 순조롭게 진행되고 있다""고 말했다.. 전문보기: https://www.yna.co.kr/view/AKR20230922003051001. ■ 오늘 아침 11~21도 '쌀쌀'…낮 24~28도로 일교차 커. 22일 중부내륙을 중심으론 낮과 밤 기온 차가 15도 내외에 달하는 등 일교차가 크겠다. 이날 아침 기온은 11~21도로 전날에 견줘 3~5도 낮았다. 전날 밤부터 북쪽에서 찬 공기가 남하하면서 기온이 뚝 떨어졌다. . 전문보기: https://www.yna.co.kr/view/AKR20230922023000530. ■ 개학 후 독감 환자 다시 증가세…어린이·청소년서 급증. 인플루엔자(독감)가 1년 넘게 유행 중인 가운데 개학을 맞은 어린이·청소년을 중심으로 환자 수가 다시 증가세로 돌아섰다. 22일 질병관리청에 따르면 지난 일주일간(9월 10∼16일) 전국 196개 표본감시의료기관을 찾은 독감 의사환자(의심증상을 보이는 환자)는 외래환자 1천 명당 13.1명이다. 직전 주 1천 명당 11.3명에서 16%가량 증가한 것으로, 이번 2023∼2024절기 유행 기준인 1천 명당 6.5명의 2배를 넘겼다.. 전문보기: https://www.yna.co.kr/view/AKR20230922026600530. ■ 6월 임용 공직자 재산공개…조성은 방통위 사무처장 등 51명 신고. 정부 공직자윤리위원회는 22일 지난 6월 신분이 변동된 고위공직자 51명의 보유 재산을 공개했다. 6월에 신규 임명된 10명, 승진한 11명, 퇴직한 18명 등이 보유 재산을 신고했다. 지난 6월 감사원 감사교육원장에서 승진 임명된 조성은 방송통신위원회 사무처장은 총 35억2천만원 재산을 신고했다. 이달 재산을 공개한 전·현직 고위공무원 중 두 번째로 보유 재산이 많았다. . 전문보기: https://www.yna.co.kr/view/AKR20230921166000001. ■ 바이든 ""내주 에이브럼스 전차 인도""…젤렌스키 ""꼭 필요했다"". 조 바이든 미국 대통령이 러시아와의 전쟁에서 미국의 지속적인 지원을 요청하기 위해 9개월 만에 미국을 다시 찾은 볼로디미르 젤렌스키 우크라이나 대통령에게 계속 돕겠다는 입장을 밝혔다. 바이든 대통령과 젤렌스키 대통령은 21일(현지시간) 워싱턴DC 백악관에서 회담하고 우크라이나 군사 지원 문제 등을 논의했다. 두 정상의 백악관 회담은 젤렌스키 대통령의 작년 12월 방문에 이어 9개월여만이다.. 전문보기: https://www.yna.co.kr/view/AKR20230922009351071. ■ 기재차관 ""20대 성수품값 작년보다 6.4% 낮아…추석물가 만전"". 김병환 기획재정부 1차관은 22일 ""20대 추석 성수품 가격이 작년 추석 기간보다 6.4% 낮은 수준으로 유지되고 있다""며 ""당초 목표(-5%)보다도 낮은 수준""이라고 밝혔다. 김 차관은 이날 오전 정부서울청사에서 '비상경제차관회의 겸 범부처 지역투자지원 전담반(TF) 회의'를 열어 ""추석 민생안정대책 이행 상황을 점검한 결과, 현재까지 12만톤의 성수품을 공급해 계획 대비 120% 이행률을 보이고 있다""며 이같이 말했다. 그러면서 ""닭고기 할당관세 잔여 물량 1만톤은 10월 초까지 전량 도입하고, 돼지고기 할당관세 추가물량 1만5천톤도 지금까지 도입된 1천톤에 더해 추석 전 공급을 최대한 확대하겠다""며 ""남은 기간 잔여 공급물량 방출, 할인지원 등을 통해 추석 장바구니 물가안정에 만전을 기하겠다""고 강조했다.. 전문보기: https://www.yna.co.kr/view/AKR20230922028800002. ■ 대법, '임금체불' 목사 벌금형 확정…""교회 전도사도 근로자"". 교회에서 일하는 전도사도 근로기준법상 근로자가 맞는다는 대법원 판결이 나왔다. 22일 법조계에 따르면 대법원 2부(주심 민유숙 대법관)는 근로기준법·근로자퇴직급여보장법 위반 혐의로 기소된 목사 이모(69)씨에게 벌금 500만원을 선고한 원심판결을 지난달 31일 확정했다. 강원 춘천시의 교회 담임목사 이씨는 2012년 10월부터 2018년 6월까지 근무하다 퇴직한 전도사의 임금 7천995만원과 퇴직금 1천758만원을 지급하지 않은 혐의로 기소됐다.. 전문보기: https://www.yna.co.kr/view/AKR20230921167500004. ■ 여가부, 청소년 룸카페 출입·술담배 판매 등 1천800여건 적발. 정부가 여름방학을 맞아 전국 번화가의 청소년 유해환경을 점검한 결과 1천800여건의 청소년 보호법 위반 사례가 적발됐다. 여성가족부는 여름방학 기간인 지난 7월 17일부터 8월 18일까지 5주간 청소년이 많이 찾는 해수욕장, 야영장, 관광지 등에 대해 점검·단속한 결과를 22일 공개했다. 여가부는 지자체, 경찰관서, 민간단체인 청소년유해환경감시단과 함께 청소년 유해업소뿐 아니라 술·담배 등 유해 약물 판매와 유해 표시를 점검했다. . 전문보기: https://www.yna.co.kr/view/AKR20230921167100530. ■ 심야 광양 아파트 지하주차장 불…61명 연기흡입 병원 이송. 22일 오전 1시 38분께 전남 광양시 광양읍에 있는 한 아파트 지하 2층 주차장에서 불이 났다. 불은 거주 세대로 확산하지 않았으나 연기를 흡입한 주민 등 61명이 소방 당국에 의해 병원으로 옮겨졌다. 또 주민 130명이 아파트 인근 체육관으로 대피했다. . 전문보기: https://www.yna.co.kr/view/AKR20230922008251054. ..제보는 카카오톡 okjebo..2023/09/22 10:30 송고.."
"KDI, '사후 규제영향평가' 국제 콘퍼런스…주요국 사례공유",".........박재현 기자.기자 페이지............한국개발연구원.[연합뉴스TV 제공]..... (세종=연합뉴스) 박재현 기자 = 한국개발연구원(KDI)은 22일 코트야드 바이 메리어트 세종에서 '사후 규제영향평가 국제 콘퍼런스'를 개최했다.. 콘퍼런스에는 한국과 영국, 독일의 규제 정책 관련 전문가들이 모여 주요국의 사후 규제영향평가 제도와 사례를 공유하고, 규제 품질개선 방안을 논의했다.. 폴 데이비슨 경제협력개발기구(OECD) 정책분석관은 '사후 규제영향평가 제도 및 방법론' 세션에서 OECD 회원국의 사후 규제영향평가 제도 도입현황과 성과를 소개했다...광고.... 그는 이어 규제개혁 제도 간 유기적인 결합과 피 규제자 의견 수렴 절차 강화 등 운영 방식에 추가적 개선이 필요하다고 제언했다.. '주요국의 사후 규제영향평가 제도' 세션에서는 앤드류 할레트 영국 규제정책위원회 선임 정책분석관과 한스외르그 디체 독일 빌레펠트 응용과학대 교수가 각자 나라의 사후 규제영향평가 제도 운용 상황을 설명했다.. trauma@yna.co.kr..제보는 카카오톡 okjebo..2023/09/22 10:30 송고.."
"""푸근한 명절 되길""…전북교육청, 저소득층 학생에 추석 지원금",".........임채두 기자.기자 페이지............전북교육청 전경.[전북교육청 제공.재판매 및 DB 금지]..... (전주=연합뉴스) 임채두 기자 = 전북도교육청은 추석을 맞아 저소득층 가정의 학생에게 '행복 가족 ON! 따듯한 밥상' 지원금을 지급한다고 22일 밝혔다.. 올해 처음으로 추진하는 이 사업은 복지 사각지대에 있는 저소득층 가정의 학생에게 건강한 성장 기반을 마련해주는 복지 사업이다.. 도교육청은 이달까지 교육 급여 수급이 결정된 1만9천여명에게 지원금 4만원을 지급할 예정이다...광고.... 추석뿐 아니라 설과 생일에도 각각 4만원을 지원하기로 했다.. 학생 1명이 1년간 받게 되는 지원금은 모두 12만원인 셈이다.. 이달에 생일을 맞은 2천여명에게도 추석 전까지 생일 축하금을 지급할 예정이라고 도교육청은 전했다.. 서거석 전북교육감은 ""추석을 맞아 도내 학생 누구도 소외되지 않고, 온 가족이 모여 행복하고 따뜻한 명절을 보낼 수 있기를 바란다""고 말했다.. doo@yna.co.kr..제보는 카카오톡 okjebo..2023/09/22 10:28 송고.."
"순창군, 장류용 고추 생산장려금 총 2억원 지급",".........최영수 기자.기자 페이지............ 순창 재배 마른 고추.[순창군 제공]..... (순창=연합뉴스) 최영수 기자 = '고추장의 고장'인 전북 순창군은 추석 전까지 장류 원료용 고추 재배 농가에 생산장려금을 지급한다고 22일 밝혔다.. 생산장려금은 장류 원료로 쓰는 순창산 고추 재배를 확대하고 농가 경영 안정을 위한 것이다.. 지원 대상은 지역 농경지 1천㎡ 이상에서 고추를 키우는 706 농가(총 141ha)로, ha당 150만원씩 총 2억여원을 지급할 예정이다...광고.... 군은 생산장려금과는 별개로 장류 관련 업체와 농협 수매 농가에 ha당 50만원의 유통장려금을 다음 달 줄 방침이다.. 최영일 군수는 ""긴 장마와 병해충 발생으로 고추 생산량이 감소해 어려움을 겪는 농가에 장려금이 조금이나마 도움이 되기를 바란다""고 말했다.. kan@yna.co.kr..제보는 카카오톡 okjebo..2023/09/22 10:27 송고.."
도심 아파트 인근 주차 차량 화재…신원미상 남성 숨져,".........천정인 기자.기자 페이지............승용차 화재 사고 (PG).[제작 조혜인] 일러스트..... (광주=연합뉴스) 천정인 기자 = 22일 오전 6시 21분께 광주 북구 신용동 한 아파트 뒤편 도로에 주차된 차량에서 불이 났다.. 불을 목격한 행인이 차량 운전석에 남성 1명이 있는 것을 보고 신고했다.. 현장에 출동한 소방 당국이 17분 만에 불을 모두 껐지만 40~50대로 추정되는 이 남성은 이미 숨졌다...광고.... 불 확산 속도가 빨라 해당 차량은 전소됐고, 뒤편에 주차된 다른 차량 1대도 일부 불에 탔다. . 경찰은 화재 현장에서 범죄 혐의점은 발견하지 못했다.. 경찰과 차량 화재와 함께 큰 소리가 났다는 주변 진술 등을 토대로 정확한 화재 원인을 조사 중이다.. iny@yna.co.kr..제보는 카카오톡 okjebo..2023/09/22 10:27 송고.."
"[게시판] KG모빌리티, '평택연탄나눔은행'에 후원금 전달",.........임기창 기자.기자 페이지.............[KG모빌리티 제공. 재판매 및 DB금지]..... ▲ KG모빌리티는 자사 공장 소재지인 경기도 평택시 관내 홀몸노인 등 소외계층을 지원하는 '2023 평택연탄나눔은행' 발대식에 참석해 후원금을 전달하고 연탄 나눔 활동에 참여했다고 22일 밝혔다. KG모빌리티와 노동조합은 전날 열린 발대식에서 공동 조성한 기금으로 평택나눔은행에 후원금을 전달하고 지역에서 직접 연탄 배달을 진행했다. (서울=연합뉴스)..광고......제보는 카카오톡 okjebo..2023/09/22 10:26 송고..
"전남도, 일본서 전복 판촉 행사",".........전승현 기자.기자 페이지............일본에서 전복 판촉 행사.[전남도제공]..... (무안=연합뉴스) 전승현 기자 = 전남도는 수산물 소비 위축 등으로 가격이 하락하는 전복 수출 확대를 위해 최근 일본에서 판촉 행사를 했다고 22일 밝혔다.. 도는 지난 16∼18일 아시아 최초 ASC(양식인증) 전복 수출 기업인 청산바다와 일본 내 최대 수산물 유통기업인 트루월드재팬과 함께 도쿄와 오사카 등 일본 현지 식품마켓 80곳에서 전복을 할인판매하고 기념품을 배포했다.. 판촉 행사에선 연간 300t 정도의 전남산 전복을 수입 유통해온 트루월드재팬이 수입 물량을 500t까지 확대하겠다는 의사도 밝혔다...광고.... 위지연 청산바다 대표는 ""전남 전복 양식 어민들이 선제적으로 ASC 인증을 도입해 적용한 것이 이온그룹 마켓에 입점할 수 있는 계기가 됐다""며 ""ASC 인증 양식 어가를 더욱 확대해 전남산 전복의 수출 경쟁력을 높이겠다""고 말했다.. 신우순 트루월드재팬 대표는 ""일본은 자연산 전복이 대부분이기 때문에 가격도 비싸고 최근에는 식품 안전성에 대한 우려가 크다""며 ""판촉 행사를 통해 가격 경쟁력은 물론 상대적으로 안전성이 높은 전남산 전복 수입을 더욱 확대할 것""이라고 기대했다.. 전남도는 전복 수출 확대를 위해 수출기업과 해외 바이어를 대상으로 연말까지 수출 금액의 10%를 현지 판촉 행사 비용 등으로 지원하는 '전복 수출 확대 해외 판촉 지원사업'을 하고 있다. . shchon@yna.co.kr..제보는 카카오톡 okjebo..2023/09/22 10:25 송고.."
농식품 트렌드가 한눈에…경북농식품산업대전 구미서 개최,".........진병태 기자.기자 페이지.......농식품업체 등 120개사 참여 ........경북농식품산업 대전 포스터.구미시 제공..... (구미=연합뉴스) 진병태 기자 = 올해 경북농식품산업대전이 22일부터 3일간 구미코에서 '세상을 움직이는 힘! 경북농식품'을 주제로 개최된다.. 경상북도에서 주최하고 경상북도 농식품 유통교육 진흥원이 주관하는 이번 행사는 농식품업체, 시군 및 단체 120개사가 참여한다.. 주제 전시관 및 경북 우수 농식품 전시·홍보·판매관과 시군 체험 이벤트, 솜사탕 만들기, 농식품 게임랜드 등의 체험 부스가 운영된다...광고.... 구미시는 농특산물 홍보관과 선산주조의 막걸리, 구미시 로컬푸드 직매장의 햅쌀, 누룽지, 추석 선물세트 2종 등을 판매하는 부스를 운영하며, 룰렛이벤트를 통해 행사장을 찾는 방문객에게 강훈목장의 요거트, 금오산한과의 한과를 경품으로 제공한다.. 김장호 구미시장은 ""가족과 함께 농식품산업의 트렌드를 한눈에 구경하고 맛보는 즐거운 시간을 보내고, 구미뿐 아니라 경북에서 생산되는 농식품에 많은 관심과 애정을 가져주길 바란다""고 말했다.. jbt@yna.co.kr..제보는 카카오톡 okjebo..2023/09/22 10:25 송고.."
제주공항 이용객 '국내선 줄고 국제선 늘고',".........고성식 기자.기자 페이지.......8월까지 전체 이용객 2.2% 감소…1천935만6천여명 .. (제주=연합뉴스) 고성식 기자 = 올해 제주국제공항 이용객 수가 지난해보다 다소 줄어든 것으로 나타났다........제주공항 이용객들.[연합뉴스 자료 사진]..... 22일 제주도에 따르면 1월부터 8월까지 제주공항 누적 이용객은 1천935만6천840명으로, 지난해 같은 기간 1천978만7천926명보다 43만1천86명(2.2%) 감소했다. . 국내선 이용객은 지난해 1천977만1천197명에서 올해 1천868만9천865명으로, 108만1천332명(5.5%) 줄었다. ..광고.... 국제선 이용객은 1만6천729명에서 66만6천975명으로, 65만여명 늘었다. . 1월부터 8월까지 국내선 항공 좌석은 전년보다 182만석 감소했다. 항공사들은 8월 한 달에만 국내선 좌석을 32만석 줄었다. . 이는 해외 여행이 활발해지면서 항공사들이 국내선 항공기를 대거 국제선으로 돌렸기 때문으로 풀이된다.. 항공사별 제주 노선 점유율은 대한항공 17.9%, 제주항공 16.9%, 아시아나 16.7%, 진에어 15.2%, 티웨이 14.4%, 에어부산 9.5%, 기타 9.4% 순으로 나타났다.. koss@yna.co.kr..제보는 카카오톡 okjebo..2023/09/22 10:24 송고.."
"영국 무역특사, 대만 방문…25일 차이잉원 총통 면담",".........정재용 기자.기자 페이지.......경제장관도 만나 무역·투자 관계 강화 논의 예정.. (서울=연합뉴스) 정재용 기자 = 영국의 대만 무역특사인 리처드 포크너 경이 영국과 대만 간 무역 및 투자 강화 방안을 논의하기 위해 대만을 방문했다.. 22일 대만 중앙통신사와 타이완뉴스 등에 따르면 전날 저녁 대만에 도착한 포크너 무역특사는 오는 25일 차이잉원 대만 총통을 면담하고, 왕메이화 대만 경제부장(장관)을 만나 영국-대만 간 경제 및 무역 관계 강화방안에 대해 논의한다........2018년 차이잉원 총통을 만나는 리처드 포크너 경.[타이완뉴스 제공, 재판매 및 DB 금지]..... 포크너 특사는 오는 28일까지 1주일간 예정된 대만 방문 기간 녹색 에너지 기술 분야 협력 방안을 집중적으로 논의할 예정이다...광고.... 그는 대만 방문에 앞서 사실상 대만 주재 영국 대사관 역할을 하는 영국재타이베이판사처에 보낸 메시지를 통해 ""나는 대만을 다시 방문해서 영국-대만 간 파트너십을 심화하는 데 기여하기를 기대한다""면서 ""영국과 대만 간 강한 인적 연결망을 구축하게 돼 기쁘다""고 말했다.. 영국 남작이자 상원의원인 포크너 특사는 2016년 이 직에 임명됐으며 2018년 9월에도 대만을 방문한 바 있다.. 포크너 특사는 또 대만 방문 기간 '영국-대만 강화된 무역 파트너십'(ETP)을 활성화하기 위해 대만 정부와 산업계 인사들을 만난다.. 영국과 대만은 지난 7월 ETP를 출범시키고 에너지, 탄소중립, 디지털 무역 분야에서 협력을 추진하기로 했다.. 영국의 산업계 대표 10명을 이끌고 대만을 방문한 포크너 특사는 이날 열리는 제18차 영국 대만 재생에너지 회의에도 참석한다.. 이어 펑후섬을 방문해 신재생에너지 협력 사례를 점검하고, 올해로 40회를 맞은 영국 쉐브닝 장학제도 혜택을 받은 대만 학자들과 기념행사를 갖고 연설한다.. jjy@yna.co.kr..제보는 카카오톡 okjebo..2023/09/22 10:22 송고.."
"맥 못 추는 미 공모주…기대주 Arm, 장중 공모가 아래 추락",".........김기성 기자.기자 페이지.......전반적 약세에 연준 매파 기조 겹쳐…클라비요, 체면 살려초기 평가 놓고 의견 갈려…""밸류에이션 책정에 문제"" 지적도.........지난 14일 나스닥 입성에 환호하는 Arm 관계자들[게티이미지/AFP 연합뉴스 자료사진. 재판매 및 DB 금지] ..... (서울=연합뉴스) 김기성 기자 = 최근 미국 증시에서 기업공개(IPO)를 하면서 거래를 시작한 주요 주식들이 맥을 못 추고 있다.. 일부에서는 이들 기업에 대한 밸류에이션(평가 가치) 산정에 문제가 있는 것 아니냐는 지적마저 일고 있다.. 21일(현지시간) 미국 나스닥 시장에서 영국 반도체 설계업체 Arm의 주가는 연방준비제도(연준·Fed)의 금리에 대한 매파적(통화긴축 선호) 기조가 영향을 미치면서 장 중 한때 IPO 가격인 51달러 아래로 떨어지기도 했다...광고.... 손정의 회장이 이끄는 소프트뱅크 소유의 Arm은 지난 14일 나스닥에 상장하면서 첫날 25% 상승해 주목받았다. 그러나 그때뿐이었다.. 그 이후로는 5거래일 연속 하락하면서 이날 IPO 가격을 갓 넘긴 52.16달러로 마감했다.. 지난 19일 나스닥에 입성한 식료품 배송업체 인스타카트(모기업 메이플베어 이름으로 거래)도 이날 30.65달러로 마감하면서 공모가 30달러를 겨우 지켜냈다.. 인스타카트는 첫날 장중 40%까지 오르다 12% 이상 상승 마감했으나 다음 날 11% 가까이 하락하며 첫날 상승분을 반납했다.. 이날 한 때 공모가를 밑도는 29.90 달러를 기록하기도 했으나 겨우 공모가를 회복했다.. 지난 7월 19일 35달러로 나스닥 거래를 시작한 뷰티 브랜드 일마키아제의 모기업 오디티 테크는 상장 첫날 35% 이상 오르며 기세를 올렸다. 그러나 상장 후 약 2개월 만인 이날 10% 가까이 하락하면서 27.93 달러를 기록 중이다. . 반면, 마케팅 자동화 플랫폼인 클라비요만이 겨우 체면을 지켰다.. 클라비요는 전날 첫 거래에서 공모가인 30달러보다 9.2% 오른 데 이어 이날도 3% 가까이 올랐다.. 이달 들어 미국 증시는 전반적으로 약세다.. 나스닥 지수는 5.3% 하락했고, S&P 500 지수는 3.3%, 다우존스 산업평균지수는 1.3% 각각 떨어졌다고 월스트리트저널(WSJ)이 전했다. . 이런 약세에다 지난 20일 연준이 기준금리를 동결하면서도 추가 인상 가능성을 열어두는 등 매파적 기조를 지키면서 기술주들을 포함해 주가는 더 추락하고 있다.. 시장에 악재가 이어지지만 IPO 시 특히 기술기업의 밸류에이션 책정에 문제가 있다는 지적도 나오고 있다.. CNBC 방송은 이날 사실상 21개월 동안 동결 상태였다가 최근 재개된 IPO 시장의 초기 결과로는 고무적이지 않다며 이같이 전했다.. CNBC에 따르면 IPO 가격에 매수한 투자자는 바로 매도하면 돈을 벌 수 있지만 나머지 대부분은 손실 상태가 현 모습으로, IPO 시장 상황도 자본력이 충분한 회사에는 그다지 매력적이지 않다.. 2년여 전만 하더라도 밸류에이션은 미래 성장성을 주요 기반으로 했지만, 이제는 지속 가능한 수익성이 중요해졌다.. 인스타카트의 최고경영자(CEO) 피지 시모는 최근 CNBC 인터뷰에서 IPO의 목적이 회사의 가치를 최대로 좋게 해 자금을 모으려는 것이라기보다는 직원들에게 자금의 유동성을 주려는 것이었다고 말했다.. 자본시장과 사모펀드에 초점을 둔 법률회사 데비보이스 앤드 플림턴의 에릭 위에르겐스는 CNBC에 ""사람들이 밸류에이션에 대해 걱정하고 있다""고 말했다.. 그는 투자자들로서는 향후 수개월 동안 해당 기업에 대한 평가를 관찰할 필요가 있고, 기업들도 IPO 목적이 자금 조달이나 직원에 대한 유동성 제공인지, 혹은 사모펀드의 출구전략인지 등을 공개해야 한다고 밝혔다.. 그러나 뉴욕대 스턴 경영대학원의 애스워스 다모다란 교수는 최근 IPO 기업들 주가는 20~25% 하락할 수 있다는 우려가 있었던 만큼 괜찮은 성과라고 평가했다.. 또 IPO 성패에 대한 적절한 평가가 이뤄지려면 시간이 필요하다며 앞으로 2주 후에도 주가가 공모가보다 높게 유지된다면 성공적이라고 할 수 있다고 덧붙였다.. cool21@yna.co.kr..제보는 카카오톡 okjebo..2023/09/22 10:22 송고.."
"창원시, 수도권 접근성 향상될까…철도 중심 교통망 개선 용역",".........김선경 기자.기자 페이지.......창원∼동대구 고속철도·진해신항선 등 추진…트램 최적 노선도 확정 예정........창원시청.[창원시 제공. 재판매 및 DB 금지]..... (창원=연합뉴스) 김선경 기자 = 인구 100만 특례시인 경남 창원에는 2010년부터 경전선 KTX가 운행되고 있다. . 그러나 창원에서 서울까지 3시간 이상이 걸려 접근성이 다소 떨어진다.. 최근에는 창원∼수서 간 SRT를 개통하는 성과도 있었지만, 시민들 불편을 완전히 해소하기에는 역부족이다...광고.... 여기에다 도시 내 창원국가산단과 진해를 연결하는 진해선은 2015년 이후 여객 수송이 중단된 상태다.. 이에 창원시는 창원∼수도권 간 이동시간 단축, 대규모 개발사업과의 유기적 연계를 주목적으로 대대적인 철도망 개선을 추진한다.. 창원시는 창원의 미래 성장동력이 될 창원국가산단 2.0과 진해신항, 가덕도 신공항 건설사업이 추진 중인 가운데 이 사업들로부터 긍정적인 파급효과를 끌어내기 위해서는 철도 중심의 광역교통망이 제대로 구축돼야 한다고 본다.. 창원시는 우선 창원∼동대구 간 고속철도 도입을 추진한다. . 이 경우 수도권과의 이동시간을 현재 3시간에서 2시간대로 단축할 수 있다.. 또 '창원산업선'과 '진해신항선' 건설로 대구국가산단으로부터 창원국가산단 2.0∼진해신항∼가덕도 신공항을 연결하는 철도망을 구축함으로써 철도물류축을 형성하는 방안도 검토한다.. 이밖에 '마산신항선'을 통해 마산항 신항의 경쟁력을 높이고, 부산도시철도 하단∼녹산선을 진해까지 연장하는 '녹산∼진해 광역철도'가 구축되면 진해 동부지역의 인구 유입 및 생활 여건 개선에도 도움이 될 것으로 기대한다.. 창원시는 이런 구상이 철도 분야 최상위 계획인 '제5차 국가철도망 구축계획'(2026∼2035년)에 반영될 수 있도록 '창원시 철도망 기본구상 및 도시철도 사전타당성조사 용역'에 착수한다고 22일 밝혔다.. 창원시는 이번 용역을 통해 지난 5월 국토교통부로부터 승인받은 '경상남도 도시철도망 구축계획'에 반영된 도시철도(트램·노면전차) 3개 노선의 사업 타당성도 검토할 계획이다.. 창원시는 ▲ 마산역∼창원중앙역(15.82㎞) ▲ 창원역∼진해역(19.28㎞) ▲ 월영광장∼진해구청(33.23㎞) 등 3개 노선 중 최적 1개 노선이 도출되는 대로 예비타당성조사를 신청하기로 했다.. 계획이 순조롭게 진행될 경우 2031년 트램 건설사업이 완공될 수 있을 것으로 예상한다.. 이번 용역은 내년 상반기 마무리될 예정이다.. 홍남표 창원시장은 ""철도 중심의 획기적인 교통망 개선을 통해서 창원의 새 발전을 끌어나갈 수 있도록 하겠다""고 말했다.. ksk@yna.co.kr..제보는 카카오톡 okjebo..2023/09/22 10:20 송고.."
[보령소식] 7대 분야 추석 연휴 종합대책 추진,".......보령시청.[연합뉴스 자료사진]..... (보령=연합뉴스) 충남 보령시는 시민·귀성객의 안전하고 편안한 명절 나기를 위해 도로·교통, 보건의료, 환경 등 7대 분야 추석 연휴 종합대책을 추진한다고 22일 밝혔다.. 고향을 찾는 섬 지역 귀성객 편의를 위해 대천 연안여객터미널 주차장을 상시 개방하고 대천역∼터미널∼주요 동 지역 구간에 시내버스 예비 차량 2대를 투입한다.. 연휴 기간 비상 진료 기관과 휴일 지킴이 약국을 운영해 의료 공백을 없애고, 생활 쓰레기는 추석 당일을 제외하고 매일 정상 수거한다...광고......제보는 카카오톡 okjebo..2023/09/22 10:20 송고.."
"포스코퓨처엠, 광양시와 배터리소재 인재육성 업무협약",".........차대운 기자.기자 페이지.......광양시 개설한 교육 받으면 포스코퓨처엠 입사 때 혜택........포스코퓨처엠-광양시 배터리소재 인재육성 업무협약.[포스코퓨처엠 제공. 재판매 및 DB 금지]..... (세종=연합뉴스) 차대운 기자 = 포스코퓨처엠은 21일 전남 광양시청에서 김준형 사장, 정인화 광양시장 등이 참석한 가운데 광양시와 '지역 인재 양성 및 채용을 위한 업무협약'을 체결했다고 밝혔다.. 광양시는 배터리 소재 전문 인력 양성 교육 과정을 개설하고, 포스코퓨처엠은 광양 양극재 공장에서 진행될 현장 교육 운영에 협조한다.. 해당 교육 과정 수료자가 포스코퓨처엠에 입사 지원을 할 때는 우대 혜택을 준다...광고.... 포스코퓨처엠은 또 광양지역 인재 채용 확대를 위해 마이스터고등학교인 한국항만물류고 졸업생들을 마이스터고 전형을 통해 우선 채용하기로 했다.. 포스코퓨처엠은 2022년 11월 9천여억원을 투자해 광양 율촌산단에 연산 9만t 규모의 양극재 공장을 준공했다. 이어 지난 7월 같은 산단 내 연산 5.25만t 규모의 양극재 공장 추가 투자를 결정했다.. 김준형 포스코퓨처엠 사장은 ""글로벌 성장을 지속하는 배터리 소재 사업을 뒷받침할 인재 육성 및 채용은 매우 시급한 과제""라며 ""포스코퓨처엠의 미래 성장을 함께할 우수 인재 양성에 광양시와 협력하겠다""고 밝혔다.. cha@yna.co.kr..제보는 카카오톡 okjebo..2023/09/22 10:20 송고.."
박강수 마포구청장 선거법 위반 벌금 90만원,".........송정은 기자.기자 페이지............박강수 마포구청장.[마포구 제공. 재판매 및 DB 금지]..... (서울=연합뉴스) 송정은 기자 = 서울서부지법 형사합의11부(배성중 부장판사)는 22일 공직선거법 위반 혐의로 기소된 박강수(64) 서울 마포구청장에게 벌금 90만원을 선고했다.. 재판부는 ""민주정치에 토대가 되는 공직선거법에서 금지하는 선거운동을 한 것으로 사안이 무겁다""며 ""선거에 임박해 불법 선거운동을 한 점도 죄질이 좋지 않다""고 밝혔다.. 다만 박 구청장이 선거 운동복을 입거나 후보자임을 알리는 표장을 착용하지 않고 단지 인사를 나눈 점, 범행이 선거 결과에 중대한 영향을 미쳤다고 보기 어려운 점 등을 고려했다고 덧붙였다...광고.... 박 구청장은 지난해 6·1 지방선거를 일주일 앞둔 5월25일 마포구청 내 사무실 등지를 돌며 직원들에게 선거운동을 한 혐의로 불구속 기소됐다.. sje@yna.co.kr..제보는 카카오톡 okjebo..2023/09/22 10:20 송고.."
