기사 타이틀,본문
◇오늘의 경기(22일),"[








이영호 기자
기자 페이지





 ◆22일(금)
 △프로야구= kt-KIA(광주) 롯데-SSG(인천) NC-LG(잠실) 두산-삼성(대구) 키움-한화(대전·이상 18시 30분)
 △골프= 코리안투어 iMBank 오픈(파미힐스 CC)

광고



 KLPGA 투어 하나금융그룹 챔피언십(베어즈베스트 청라)
 제16회 KB금융그룹배 여자아마추어선수권대회(센추리21CC)
 △테니스= 제3차 한국실업연맹전(영월스포츠파크)
 ITF 안동국제주니어대회(안동시민운동장)
 (서울=연합뉴스)

제보는 카카오톡 okjebo
&lt;저작권자(c) 연합뉴스,
무단 전재-재배포 금지&gt;
2023/09/22 06:15 송고

]"
"북한, 정치국회의서 김정은 방러 결과 보고…""조치 적극 실행""","[








김지헌 기자
기자 페이지











작별인사하는 김정은과 푸틴
(평양 조선중앙통신=연합뉴스) 북한 김정은 국무위원장의 러시아 방문을 환영해 블라디미르 푸틴 러시아 대통령이 지난 13일 연회를 마련했다고 조선중앙통신이 14일 보도했다. 2023.9.14  [국내에서만 사용가능. 재배포 금지. For Use Only in the Republic of Korea. No Redistribution] nkphoto@yna.co.kr




 (서울=연합뉴스) 김지헌 기자 = 북한이 지난 20일 당 중앙위원회 제8기 제16차 정치국 회의를 열어 김정은 국무위원장이 참가한 가운데 그의 러시아 방문 결과를 논의했다.
 22일 조선중앙통신에 따르면 회의에서는 김성남 당 국제부장이 김 위원장의 러시아 방문 귀환 보고를 했다.
 보고에서는 김정은의 러시아 방문이 가지는 의의에 대해 분석하고 북러 관계 발전계획들이 소개됐다.

광고



 김정은은 ""모든 분야에서 쌍무관계를 보다 활성화하고 새로운 높은 단계로 발전시키기 위한 건설적인 조치들을 적극적으로 실행""해야 함을 언급했다고 통신은 전했다. 
 정치국은 김정은이 진행한 대외활동 성과를 실천적이고 전면적으로 구현해나가기 위한 일련의 방도적 문제를 토의했다고 통신은 덧붙였다.
 정치국은 당 대회나 당 중앙위원회 전원회의가 열리지 않을 때 당내 의사결정을 담당하는 권력기구로, 김정은 시기 들어 주요 안건들이 정치국 회의에서 결정되고 있다.
 김정은은 지난 13일 러시아 보스토치니 우주기지에서 블라디미르 푸틴 대통령과 정상회담을 했다.
 jk@yna.co.kr

제보는 카카오톡 okjebo
&lt;저작권자(c) 연합뉴스,
무단 전재-재배포 금지&gt;
2023/09/22 06:14 송고

]"
"부산·울산·경남 흐린 날씨…""일교차 커요""","[








차근호 기자
기자 페이지





 (부산=연합뉴스) 차근호 기자 = 금요일인 22일 부산, 울산, 경남은 대체로 흐리고 구름 끼는 날씨를 보이겠다.
 이날 오전 5시 현재 기온은 부산 19.5도, 울산 17.9도, 창원 19.1도, 밀양 18.2도, 창녕 18.7도, 통영 19.7도 등이다.
 낮 최고기온은 부산 27도, 울산 25도, 경남 26∼28도로 예상된다.

광고



 미세먼지 농도는 '좋음'으로 예상된다.
 기상청은 ""낮과 밤의 기온 차가 크겠으니 건강 관리에 유의해야 한다""고 당부했다.
 ready@yna.co.kr
 ※ 이 기사는 엔씨소프트의 인공지능 기술인 자연어처리기술(NLP)과의 협업을 통해 제작되었습니다. 인공지능이 쓴 초고와 기상청 데이터 등을 토대로 취재 기자가 최종 기사를 완성했으며 데스킹을 거쳤습니다. 
 기사의 원 데이터인 기상청 기상예보는 웹사이트(https://www.weather.go.kr)에서도 확인할 수 있습니다. 

제보는 카카오톡 okjebo
&lt;저작권자(c) 연합뉴스,
무단 전재-재배포 금지&gt;
2023/09/22 06:09 송고

]"
충북 대체로 맑음…낮 최고 26도,"[








김형우 기자
기자 페이지











청주의 가을 하늘
[연합뉴스 자료사진]




 (청주=연합뉴스) 김형우 기자 = 22일 충북은 대체로 맑겠다.
 이날 오전 5시 기준 기온은 옥천 18.9도, 청주·충주 16.1도, 추풍령 15.5도, 진천 14.7도, 제천 14.3도 등이다.
 낮 기온은 24∼26도로 예상된다.

광고



 미세먼지 농도는 '좋음'으로 예보됐다.
 청주기상지청은 ""강이나 호수, 골짜기 주변에 안개가 짙게 끼는 곳이 있겠으니 교통 안전에 유의해야 한다""고 당부했다.
 vodcast@yna.co.kr
 ※ 이 기사는 엔씨소프트의 인공지능 기술인 자연어처리기술(NLP)과의 협업을 통해 제작되었습니다. 인공지능이 쓴 초고와 기상청 데이터 등을 토대로 취재 기자가 최종 기사를 완성했으며 데스킹을 거쳤습니다. 
 기사의 원 데이터인 기상청 기상예보는 웹사이트(https://www.weather.go.kr)에서도 확인할 수 있습니다. 

제보는 카카오톡 okjebo
&lt;저작권자(c) 연합뉴스,
무단 전재-재배포 금지&gt;
2023/09/22 06:09 송고

]"
전북 흐리다 낮부터 맑아져…낮 최고 27도,"[








나보배 기자
기자 페이지











시나브로 가을빛
(서울=연합뉴스) 김도훈 기자 = 가을비가 내린 20일 오후 서울 남산의 나무들이 조금씩 가을빛으로 물들어 가고 있다. 2023.9.20 superdoo82@yna.co.kr




 (전주=연합뉴스) 나보배 기자 = 금요일인 22일 전북은 대체로 흐리다가 낮부터 차차 맑아지겠다.
 이날 오전 5시 현재 기온은 전주 17.7도, 군산 15.4도, 익산 14.4도, 남원 18.3도, 무주 17.6도, 장수 17.0도 등이다.
 낮 최고 기온은 25∼27도로 예상된다.

광고



 미세먼지 농도는 '좋음' 수준을 보이겠다.
 전주기상지청 관계자는 ""낮과 밤의 기온 차가 10∼15도로 크겠으니 건강관리에 유의해야 한다""고 당부했다.
 warm@yna.co.kr
 ※ 이 기사는 엔씨소프트의 인공지능 기술인 자연어처리기술(NLP)과의 협업을 통해 제작되었습니다. 인공지능이 쓴 초고와 기상청 데이터 등을 토대로 취재 기자가 최종 기사를 완성했으며 데스킹을 거쳤습니다. 
 기사의 원 데이터인 기상청 기상예보는 웹사이트(https://www.weather.go.kr)에서도 확인할 수 있습니다. 

제보는 카카오톡 okjebo
&lt;저작권자(c) 연합뉴스,
무단 전재-재배포 금지&gt;
2023/09/22 06:08 송고

]"
제주 가끔 비…낮 기온 26∼27도,"[








고성식 기자
기자 페이지











흐린 날씨 속 제주 새별오름
[연합뉴스 자료사진]




 (제주=연합뉴스) 고성식 기자 = 22일 제주는 대체로 흐리고 늦은 오후까지 가끔 비가 내리겠다.
 낮 기온은 26∼27도로 예상된다.
 미세먼지 농도는 '좋음'으로 예상된다.

광고



 제주지방기상청은 ""늦은 오후까지 가끔 비가 내리는 곳이 있겠고, 산지를 중심으로 가시거리 200m 미만의 안개가 끼겠다""며 ""교통안전에 유의해야 한다""고 당부했다.
 koss@yna.co.kr
 ※ 이 기사는 엔씨소프트의 인공지능 기술인 자연어처리기술(NLP)과의 협업을 통해 제작되었습니다. 인공지능이 쓴 초고와 기상청 데이터 등을 토대로 취재 기자가 최종 기사를 완성했으며 데스킹을 거쳤습니다. 
 기사의 원 데이터인 기상청 기상예보는 웹사이트(https://www.weather.go.kr)에서도 확인할 수 있습니다. 

제보는 카카오톡 okjebo
&lt;저작권자(c) 연합뉴스,
무단 전재-재배포 금지&gt;
2023/09/22 06:07 송고

]"
대전·세종·충남 대체로 맑음…낮 기온 25∼27도,"[








박주영 기자
기자 페이지











시나브로 가을빛
[연합뉴스 자료사진]




 (대전=연합뉴스) 박주영 기자 = 금요일인 22일 대전·세종·충남은 대체로 맑겠다.
 이날 오전 5시 현재 주요 지역의 기온은 대전 15.2도, 천안 13.4도, 보령 15.5도, 부여 14.7도 등이다.
 낮 기온은 대전 26도, 세종 26도, 충남 25∼27도로 예상된다.

광고



 미세먼지 농도는 '좋음' 수준을 보이겠다. 
 대전기상청 관계자는 ""당분간 낮과 밤 기온 차가 10∼15도 내외로 크겠으니 건강 관리에 유의해야 한다""고 당부했다.
 jyoung@yna.co.kr
 ※ 이 기사는 엔씨소프트의 인공지능 기술인 자연어처리기술(NLP)과의 협업을 통해 제작되었습니다. 인공지능이 쓴 초고와 기상청 데이터 등을 토대로 취재 기자가 최종 기사를 완성했으며 데스킹을 거쳤습니다. 
 기사의 원 데이터인 기상청 기상예보는 웹사이트(https://www.weather.go.kr)에서도 확인할 수 있습니다. 

제보는 카카오톡 okjebo
&lt;저작권자(c) 연합뉴스,
무단 전재-재배포 금지&gt;
2023/09/22 06:06 송고

]"
아이폰15 내달 13일 국내 출시…신제품 공개 한 달 만,"[








강건택 기자
기자 페이지









오규진 기자
기자 페이지






1차 출시국보다 3주 늦어…연휴 직후인 10월 6일부터 사전 예약







미국 캘리포니아주 쿠퍼티노의 애플파크에서 공개된 아이폰 15 신제품
[EPA 연합뉴스 자료사진. 재판매 및 DB 금지]




 (서울=연합뉴스) 강건택 오규진 기자 = '황금연휴'가 끝난 후 열흘 뒤쯤이면 국내 소비자들도 애플의 최신 스마트폰 아이폰15 시리즈를 만날 수 있게 된다.
 22일 통신업계에 따르면 애플은 다음 달 13일 아이폰15와 아이폰15 플러스·프로·프로맥스 등 신제품 라인업의 국내에 출시할 계획인 것으로 전해졌다.
 지난 12일(현지 시각) 애플이 미국 캘리포니아주 쿠퍼티노의 애플파크에서 신제품 발표 행사 '원더러스트'를 통해 아이폰15 시리즈를 처음 공개한 지 한 달 만이다.

광고



 SK텔레콤[017670]과 KT[030200], LG유플러스[032640] 등 이동통신사들은 일주일 전인 다음 달 6일부터 사전 예약 접수를 시작할 전망이다.
 애플은 22일 미국·영국·일본·중국·호주·캐나다·프랑스·독일·인도·멕시코 등 40여 개국에서 아이폰15 시리즈를 1차로 출시하고, 오는 29일 마카오·말레이시아·튀르키예·베트남 등 21곳에서 2차 출시에 나선다.
 따라서 한국의 출시일은 1차 출시국보다 3주, 2차 출시국보다는 2주 각각 늦은 셈이다.
 이번에도 애플이 '한국 시장을 홀대하는 것이 아니냐'는 비판이 나오는 이유다. 






적년 아이폰14 출시일 명동 애플스토어 오픈런
(서울=연합뉴스) 신현우 기자 = 애플의 아이폰14 시리즈 공식 출시일인 7일 오전 서울 중구 명동 애플스토어에 고객들이 입장하고 있다. 2022.10.7 [공동 취재] nowwego@yna.co.kr




 지금까지 아이폰 신제품이 나올 때마다 한국은 대부분 2차 또는 그 이후 출시국으로 분류돼 왔다. 지난해 아이폰14 시리즈 중 플러스 제품의 공급이 지연되는 바람에 10월 7일 1차 출시국들과 동시에 출시된 것 정도가 예외다.
 그러나 아이폰 신제품이 항상 국내에서 늦게 나오는 원인 중 하나는 국립전파인증원의 전파인증 절차 탓이란 반론도 있다.
 또 애플이 아이폰15 시리즈의 달러 기준 가격을 전작과 동일하게 책정한 가운데 지난해 아이폰14 출시 때보다 원/달러 환율이 내려갔음에도 불구하고, 원화 기준 아이폰15 시리즈 가격을 동결해 '고가 논란'도 불거졌다.
 시민단체 소비자주권시민회의는 지난 20일 성명에서 신제품 발표일이 아닌 해당국 출시일 기준의 환율을 적용해야 한다며 ""추후 모델부터는 한국도 일본 등 인접국과 동일한 1차 출시국에 포함해야 한다""고 촉구했다.
 이런 논란과 별개로 아이폰15는 한국에서도 큰 인기를 끌 것으로 예상된다.
 공무원 '아이폰 금지령'이 내려진 중국을 포함한 대다수 1차 출시국들에서 사전 예약이 호조를 보여서다.
 국내 통신 3사가 진행 중인 아이폰15 사전 예약 알림 신청 이벤트에도 벌써 큰 관심이 쏟아지는 것으로 전해졌다.
 통신사들은 사전알림 신청자 등을 대상으로 경품과 네이버페이 포인트 지급 이벤트를 진행 중이다.
 또 아이폰 선호 고객들의 큰 관심을 고려해 출시일 새벽 0시부터 곧바로 아이폰15 신제품을 보내주는 새벽 배송 이벤트도 계획하고 있다.
 firstcircle@yna.co.kr, acdc@yna.co.kr

제보는 카카오톡 okjebo
&lt;저작권자(c) 연합뉴스,
무단 전재-재배포 금지&gt;
2023/09/22 06:05 송고

]"
[코스피·코스닥 전 거래일(21일) 주요공시],"[
 ▲ 미래에셋증권[006800] ""인도 계열사 주식 3천570억원에 추가취득""
 ▲ 하이트진로홀딩스[000140] ""싱가포르 계열사 주식 239억원에 취득""
 ▲ 하이트진로[000080] ""싱가포르 계열사 주식 479억원에 취득…지분율 40%""

광고



 ▲ 코난테크놀로지[402030], 주당 1.0주 무상증자 결정
 (서울=연합뉴스)

제보는 카카오톡 okjebo
&lt;저작권자(c) 연합뉴스,
무단 전재-재배포 금지&gt;
2023/09/22 06:05 송고

]"
자신이 근무하는 동사무소로 전입신고한 직원…들키자 '사표',"[








노승혁 기자
기자 페이지





 (파주=연합뉴스) 노승혁 기자 = 경기 파주시 직원이 자신의 근무지인 행정복지센터(동사무소)로 전입 신고를 했다가 발각되자 사표를 제출하는 황당한 일이 벌어졌다.






파주시청
[연합뉴스 자료사진]




 22일 파주시에 따르면 운정 지역 한 행정복지센터에서 전입신고 업무를 담당했던 A(8급) 주무관은 지난 6월 중순 주소를 실제 거주지인 고양시에서 근무지인 행정복지센터로 이전했다.
 일반 주택이나 아파트가 아닌 행정관청으로 주소를 이전하는 이해하기 힘든 상황으로 주민등록법 위반에 해당한다.

광고



 A 주무관이 행정복지센터로 주소 이전을 한 것을 다른 직원이 발견한 것은 보름가량 지난 6월 말이었다.
 사무실 내에 이런 내용이 알려지자 A 주무관은 자신이 살고 있는 고양시로 다시 전입신고를 했다고 파주시는 설명했다.
 해당 동사무소 관계자는 ""당시 A 주무관이 행정복지센터로 주소를 이전한 것에 관해 물었지만, 답변하지 않았다""면서 ""시 감사관실에 이런 내용을 알리고, 주민등록법 위반 혐의로 경찰에 신고했다""고 말했다.
 파주시 감사관실 관계자는 ""A 주무관을 만나 주소 이전에 관해 물어봤지만 답변도 없었고 감사관실 조사에도 응하지 않았다""면서 ""대신에 감사관실로 '(내가) 잘못하지 않아서 조사를 안 받겠다'는 공문을 보내는 어처구니없는 행동만 있었다""고 전했다. 
 이에 감사관실은 A 주무관에 대해 불법 전입신고와 감사 불응 등을 들어 경기도에 중징계를 요구했으며, 경기도는 지난달 말 정직 3개월 처분을 내렸다.
 A씨는 경기도의 징계 처분에 앞서 파주시에 사표를 냈으며 이달 초 사표가 수리됐다. 
 nsh@yna.co.kr

제보는 카카오톡 okjebo
&lt;저작권자(c) 연합뉴스,
무단 전재-재배포 금지&gt;
2023/09/22 06:03 송고

]"
전기차 보조금 확대 내주 발표…'연내 한시적 증액' 전망,"[








이재영 기자
기자 페이지









홍준석 기자
기자 페이지






지급 대상은 늘리지 않을 듯…전기차 판매 둔화하자 '고육지책'








서울 시내 한 전기차 충전소에서 충전 중인 전기차들. [연합뉴스 자료사진]




 (서울=연합뉴스) 이재영 홍준석 기자 = 추경호 경제부총리 겸 기획재정부 장관이 밝힌 '전기차 보조금 확대'는 '대상은 유지하되, 한시적으로 액수를 늘리는 방식'이 될 것으로 전망된다. 
 추 부총리는 20일 ""최근 전기차가 세계적으로 경쟁이 치열하고 수요가 상대적으로 많이 저조하다""며 ""보조금 지원 대상을 확대하고, 보조금 인센티브 제도를 강화하는 방안을 찾고 있다""고 말했다.
 22일 환경부 측 설명을 종합하면 전기차 보조금을 담당하는 환경부와 기재부 간 협의가 아직 진행 중으로 구체적인 안이 확정되지는 않았다. 

광고



 다만 환경부 관계자는 ""(보조금 확대는) 아직 집행되지 않은 보조금 예산을 활용해 연내 한시적으로 이뤄질 것""이라고 설명했다. 
 이 관계자는 보조금 대상 기준을 낮추는 방안에는 선을 그었다.
 전기승용차는 올해 찻값이 8천500만원 미만이어야 보조금을 받는다.
 8천500만원 미만 전기승용차의 경우 가격이 5천700만원 미만인 차는 보조금을 100% 받고, 나머지 가격대는 절반만 받을 수 있다. 
 당국이 전기차 보조금 확대 카드를 꺼내 든 이유는 경기가 전반적으로 좋지 않은 가운데 전기차 판매량이 이전보다 줄었기 때문이다. 
 무공해차 통합누리집에 따르면 서울시는 올해 전기승용차 총 1만3천688대(민간 공고분)에 보조금을 지급하기로 했는데, 현재까지 출고된 차가 5천258대로 38%에 그친다. 
 인천은 보조금 지급을 계획한 대수(8천54대)의 31%(2천524대), 대전은 21%(6천68대 계획·1천269대 출고)만 출고됐다.
 연말이면 보조금이 떨어져 받기 어려운 통상의 상황과 다른 모습이다.






전기차 충전
[경기도 제공]




 당국은 '적정 보조금 증액 폭'을 두고 고민 중인 것으로 알려졌다. 
 전기차 구매를 촉진할 수준이면서 이미 보조금을 받은 사람도 수용할 수준의 금액이어야 하기 때문이다. 
 보조금을 늘려도 이미 받은 사람에게 소급해 추가 지급하지는 않는다는 것이 당국의 방침인데, 이러면 형평성 논란이 불거질 수 있다. 
 올해 전기승용차 국고보조금 최대치는 중·대형 680만원, 소형 580만원이다.
 지자체 보조금은 지자체별로 다른데 경남의 경우 600만~1천150만원이고, 서울은 180만원이다.
 당국은 전기차 보조금을 증액하면 제조사들이 가격을 인하하는 '호응 조치'를 내놓을 것으로 기대하는 모습이다. 
 구체적인 전기차 보조금 확대 방안은 다음 주 발표될 예정이다.
 jylee24@yna.co.kr


관련기사



국내 전기차 보급 50만대 넘어섰다…'성장세 둔화' 과제
추경호 ""R&amp;D 예산증액 검토한적 없다…전기차 보조금 대상 확대""




제보는 카카오톡 okjebo
&lt;저작권자(c) 연합뉴스,
무단 전재-재배포 금지&gt;
2023/09/22 06:01 송고

]"
"김동철 한전 사장 ""위기극복 실마리 보일때까지 퇴근 안하겠다""","[








차대운 기자
기자 페이지









이슬기 기자
기자 페이지






집무실서 '무기한 숙박'…비상경영·혁신위 꾸려







취임사하는 김동철 신임 한전 사장
(나주=연합뉴스) 천정인 기자 = 20일 오전 전남 나주시 빛가람동 한국전력 본사에서 김동철 신임 사장이 취임사를 하고 있다. 2023.9.20 iny@yna.co.kr




 (세종·서울=연합뉴스) 차대운 이슬기 기자 = 김동철 신임 한국전력 사장이 위기 해결의 단초가 보일 때까지 퇴근하지 않고 회사에 남아 핵심 현안을 24시간 직접 챙긴다. 
 22일 한전 관계자들에 따르면 김 사장은 지난 20일 취임 후 간부들에게 ""직면한 절대적 위기를 극복하는 실마리가 보일 때까지 당분간 이번 추석 연휴를 포함한 휴일을 모두 반납하고 24시간 본사를 떠나지 않고 핵심 현안을 챙기겠다""고 말했다.
 김 사장은 임기 첫날 '워룸'(비상경영 상황실)이라는 이름을 붙인 사장실에 간이침대를 들여놓고 이곳에서 실제 숙박을 시작했다.

광고



 김 사장은 내주까지 본부별 업무보고를 받으면서 한전의 역할 재정립, 전기요금 정상화, 특단의 추가 자구책 등에 대해 실무진과 토론하며 최대한 속도감 있게 위기 극복 방안을 도출해내기로 한 것으로 전해졌다.
 아울러 김 사장은 취임 직후 기존 임원 중심 비상경영위원회를 비상경영·혁신 위원회 체제로 확대·재편하면서 '제2의 창사'라는 각오로 국민의 눈높이에 부합하는 수준의 경영 체질 개선 필요성을 강조했다고 한다.
 한전 설립 62년 만의 첫 '정치인 최고경영자'인 김 사장은 심각한 한전의 재무구조를 정상화해야 하는 무거운 숙제를 안고 업무에 나섰다. 
 정부 안팎에서는 한전의 재무구조 정상화를 위한 전기요금 추가 인상 필요성이 거론되지만, 전기요금 인상 필요성을 국민이 납득할 수 있도록 한전 스스로 고강도 자구 노력을 보여줘야 한다는 목소리도 동시에 나온다. 
 김 사장은 지난 20일 취임식에서 ""한전은 지금 절체절명 위기 앞에서 환골탈태해야 한다""며 ""제게는 한전 사장이 마지막 공직이 될 것이다. 어떤 수고와 노력도 마다하지 않겠다""고 말했다.
 한 한전 간부는 ""신임 사장이 근처에 있는 관사마저 마다하고 사장실 숙박이라는 강수를 둔 것은 상징적인 행동으로 직원들에게 비상경영 상황이라는 긴장감을 불어 넣기 위한 것으로 보인다""고 말했다.
 cha@yna.co.kr
 wise@yna.co.kr

제보는 카카오톡 okjebo
&lt;저작권자(c) 연합뉴스,
무단 전재-재배포 금지&gt;
2023/09/22 06:01 송고

]"
"한-덴마크, 중소기업·스타트업 분야 협력 체계 강화","[








박상돈 기자
기자 페이지











이영 중기부 장관, 핀란드와 청년 창업 정책 교류 
이영 중소벤처기업부 장관(맨 왼쪽)이 20일(현지시간) 핀란드 알토대학교 스타트업센터에 방문해 얀네 라이네 부총장을 비롯한 알토대 측 관계자와 양국 창업정책 및 청년 창업 교류 지원 방안 관련 면담을 하고 있다. [중소벤처기업부 제공. 재판매 및 DB 금지]




 (서울=연합뉴스) 박상돈 기자 = 중소벤처기업부는 21일(현지시간) 덴마크 고등교육과학부· 산업비즈니스금융부와 양국의 '지식 및 기술 집약형 중소기업·창업기업'을 지원하는 내용의 업무협약을 맺었다고 22일 밝혔다.
 이번 업무협약에는 2014년 덴마크 고등교육과학부와 맺은 '창업 정책 교류와 협력을 위한 업무협약(MOU)'을 바탕으로 스타트업 및 중소기업 간 교류 확대, 기업가정신 고도화, 양국 산하기관이 참여하는 협력 기구 설치 등의 새로운 발전 방향이 포함됐다.
 중소·스타트업, 벤처 생태계 발전에 대한 고위급 대화 채널을 구축하고 효율적인 의사소통을 위해 창업진흥원 등 전문기관이 참여하는 협력 기구를 설치하는 내용 등이다.

광고



 kaka@yna.co.kr

제보는 카카오톡 okjebo
&lt;저작권자(c) 연합뉴스,
무단 전재-재배포 금지&gt;
2023/09/22 06:00 송고

]"
"농관원, 다음 달 10일부터 가루쌀 공공비축 매입 검사","[








신선미 기자
기자 페이지











가루쌀 공공비축 매입 검사
[국립농산물품질관리원 제공. 재판매 및 DB금지]




 (서울=연합뉴스) 신선미 기자 = 쌀가루 전용 품종인 '가루쌀' 공공비축을 위한 매입 검사가 다음 달 10일 시작된다.
 국립농산물품질관리원(농관원)은 가루쌀인 '바로미2' 품종 1만1천t(톤)에 대한 공공비축 매입 검사를 다음 달 10일부터 12월 31일까지 진행한다고 22일 밝혔다.
 가루쌀 매입은 밥쌀 소비 감소에 대응하고 쌀 가공식품 시장 확대를 위해 올해 처음 시행되는 것으로, 농관원은 이달 초 가루쌀 검사 규격을 마련했다.

광고



 농관원은 전날에는 설명회를 열고 전국 검사 업무 담당자에게 가루쌀 매입 검사 요령과 정보를 공유했다.
 sun@yna.co.kr

제보는 카카오톡 okjebo
&lt;저작권자(c) 연합뉴스,
무단 전재-재배포 금지&gt;
2023/09/22 06:00 송고

]"
[영상] 중국 반도체 반격에 잔뜩 화난 미국…한국이 살아남을 방법은,"[








고현실 기자
기자 페이지











유튜브로 보기
https://youtu.be/6ICXltSWYfc



 (서울=연합뉴스) 고현실 기자 = 미국과 중국의 경제 패권 경쟁이 격화하고 있습니다.
 지난달 말 중국이 미국의 제재를 뚫고 자체 반도체 기술로 만든 프리미엄 스마트폰을 전격 공개하자 세계가 깜짝 놀랐습니다.
 이어 이달 초 중국 정부가 공무원들에게 업무 중 아이폰 사용을 금지했다는 보도가 나와 미국 증시에 충격을 줬습니다.

광고



 중국 외교부는 사실이 아니라며 한 발 뺐지만, 아이폰의 보안 문제를 인지하고 있다며 여지를 뒀는데요.
 미국 정부는 중국이 반도체 수출 통제를 우회했다는 증거가 나올 경우 조사에 착수할 것이라며 맞불을 놓았습니다. 
 미중 간 반도체 전쟁이 이어지는 가운데 중국이 반도체 소재를 비롯한 핵심 원자재들을 '무기화'하는 것에 대한 우려도 커지고 있는데요, 
 우려가 현실이 될 경우 우리나라에도 타격이 불가피해 보입니다. 
 자세한 내용은 영상으로 보시죠.
 기획·구성: 고현실
 연출: 류재갑
 편집: 허지송
 영상: 로이터·AFP·연합뉴스TV·화웨이 홈페이지·유튜브 Apple·미국 하원 과학우주기술위원회












 okko@yna.co.kr

제보는 카카오톡 okjebo
&lt;저작권자(c) 연합뉴스,
무단 전재-재배포 금지&gt;
2023/09/22 06:00 송고

]"
